mac,location

7c:21:0d:2e:d4:40,Corridor Near 1037
7c:21:0d:2f:56:80,1004
7c:21:0d:2f:1a:e0,1005
7c:21:0d:2f:11:e0,1006
7c:21:0d:2f:39:00,1007
7c:21:0d:2e:5e:80,1008
1c:d1:e0:42:4c:e0,Library
1c:d1:e0:3c:d5:e0,Library
7c:21:0d:2f:49:e0,1017
7c:21:0d:2f:6e:20,1019
7c:21:0d:2f:52:80,1020
7c:21:0d:2f:4c:a0,1021
7c:21:0d:2f:46:e0,1022
1c:d1:e0:3d:0b:a0,1024
1c:d1:e0:43:3a:20,1026
1c:d1:e0:3d:82:20,1030
1c:d1:e0:3d:38:a0,Corridor Near 1034
7c:21:0d:2e:d5:20,Corridor Near 1037
7c:21:0d:2f:53:80,1037
7c:21:0d:2f:4f:00,2004
7c:21:0d:2f:17:e0,2006
1c:d1:e0:45:06:c0,2010
7c:21:0d:2e:4d:a0,2017
1c:d1:e0:3d:3c:20,2019
7c:21:0d:2f:1e:a0,Corridor Near 2021
7c:21:0d:2f:33:80,2022
5c:71:0d:4c:26:80,2023
1c:d1:e0:3d:4a:80,Corridor Near 2025
7c:21:0d:2f:75:20,Corridor Near 2048
7c:21:0d:2f:73:a0,2045
7c:21:0d:2e:e5:20,2047
7c:21:0d:2e:da:40,2051
7c:21:0d:2f:54:60,2030
7c:21:0d:2f:10:40,2035
1c:d1:e0:44:97:e0,Student Area E
1c:d1:e0:3f:16:40,Student Area J
1c:d1:e0:44:97:c0,2040
1c:d1:e0:3c:fb:a0,2042
1c:d1:e0:42:7d:a0,Corridor Near 3003
1c:d1:e0:3f:98:c0,Corridor Near 3047
1c:d1:e0:41:39:60,Corridor Near 3068
1c:d1:e0:44:83:60,3011
1c:d1:e0:43:80:40,3012
1c:d1:e0:3d:28:a0,Corridor Near 3018
1c:d1:e0:3d:68:60,3022
1c:d1:e0:40:41:20,3028
1c:d1:e0:44:10:40,3033
1c:d1:e0:3d:02:60,Corridor Near 3039
1c:d1:e0:3d:34:c0,3042
1c:d1:e0:43:08:c0,3053
1c:d1:e0:41:e2:00,3059
1c:d1:e0:42:fe:c0,3066
1c:d1:e0:3d:7b:a0,Corridor Near 3072
1c:d1:e0:3d:51:a0,3080
1c:d1:e0:45:1b:40,Corridor Near 3091
1c:d1:e0:3c:99:80,3092
1c:d1:e0:43:36:00,3095
68:9e:0b:5c:e8:20,Terrace
1c:d1:e0:3c:16:40,Corridor Near 3097
1c:d1:e0:42:b9:60,3105
1c:d1:e0:42:a8:60,3111
b8:11:4b:bf:37:00,3115
1c:d1:e0:44:af:c0,3121
1c:d1:e0:44:0c:a0,Corridor Near 4003
1c:d1:e0:3d:4c:c0,4007
1c:d1:e0:44:7a:20,4012
1c:d1:e0:3d:1e:80,Corridor Near 4017
1c:d1:e0:3d:8f:e0,4025
1c:d1:e0:42:e4:20,Corridor Near 4035
1c:d1:e0:3f:0c:a0,Corridor Near 4037
1c:d1:e0:3d:2d:a0,4040
1c:d1:e0:44:51:80,4046
1c:d1:e0:41:7e:e0,4052
1c:d1:e0:3d:4d:e0,4057
1c:d1:e0:3c:60:e0,Corridor Near 4062
1c:d1:e0:3d:a2:e0,4067
1c:d1:e0:3d:b6:a0,Corridor Near 4073
1c:d1:e0:3e:70:00,4075
1c:d1:e0:41:00:a0,Corridor Near 4084
1c:d1:e0:43:02:60,4087
1c:d1:e0:3c:59:80,Corridor Near 4094
1c:d1:e0:40:02:40,4103
1c:d1:e0:3d:81:a0,Corridor Near 4108